 ( -1.9315830712e-06+ 0.0000000000e+00j)  ( -1.9322865061e-06+ 0.0000000000e+00j)
 ( -2.3568828291e-06+ 0.0000000000e+00j)  ( -2.3577411477e-06+ 0.0000000000e+00j)
 ( -2.8700800197e-06+ 0.0000000000e+00j)  ( -2.8711252322e-06+ 0.0000000000e+00j)
 ( -3.4880397801e-06+ 0.0000000000e+00j)  ( -3.4893100382e-06+ 0.0000000000e+00j)
 ( -4.2305834323e-06+ 0.0000000000e+00j)  ( -4.2321241066e-06+ 0.0000000000e+00j)
 ( -5.1209497035e-06+ 0.0000000000e+00j)  ( -5.1228146272e-06+ 0.0000000000e+00j)
 ( -6.1863169574e-06+ 0.0000000000e+00j)  ( -6.1885698617e-06+ 0.0000000000e+00j)
 ( -7.4583925177e-06+ 0.0000000000e+00j)  ( -7.4611086807e-06+ 0.0000000000e+00j)
 ( -8.9740754111e-06+ 0.0000000000e+00j)  ( -8.9773435485e-06+ 0.0000000000e+00j)
 ( -1.0776199053e-05+ 0.0000000000e+00j)  ( -1.0780123479e-05+ 0.0000000000e+00j)
 ( -1.2914360520e-05+ 0.0000000000e+00j)  ( -1.2919063612e-05+ 0.0000000000e+00j)
 ( -1.5445843080e-05+ 0.0000000000e+00j)  ( -1.5451468076e-05+ 0.0000000000e+00j)
 ( -1.8436638560e-05+ 0.0000000000e+00j)  ( -1.8443352730e-05+ 0.0000000000e+00j)
 ( -2.1962575931e-05+ 0.0000000000e+00j)  ( -2.1970574161e-05+ 0.0000000000e+00j)
 ( -2.6110562105e-05+ 0.0000000000e+00j)  ( -2.6120070929e-05+ 0.0000000000e+00j)
 ( -3.0979940389e-05+ 0.0000000000e+00j)  ( -3.0991222522e-05+ 0.0000000000e+00j)
 ( -3.6683971318e-05+ 0.0000000000e+00j)  ( -3.6697330718e-05+ 0.0000000000e+00j)
 ( -4.3351439574e-05+ 0.0000000000e+00j)  ( -4.3367227102e-05+ 0.0000000000e+00j)
 ( -5.1128389519e-05+ 0.0000000000e+00j)  ( -5.1147009221e-05+ 0.0000000000e+00j)
 ( -6.0179990349e-05+ 0.0000000000e+00j)  ( -6.0201906422e-05+ 0.0000000000e+00j)
 ( -7.0692530086e-05+ 0.0000000000e+00j)  ( -7.0718274568e-05+ 0.0000000000e+00j)
 ( -8.2875535567e-05+ 0.0000000000e+00j)  ( -8.2905716800e-05+ 0.0000000000e+00j)
 ( -9.6964013113e-05+ 0.0000000000e+00j)  ( -9.6999325023e-05+ 0.0000000000e+00j)
 ( -1.1322080185e-04+ 0.0000000000e+00j)  ( -1.1326203409e-04+ 0.0000000000e+00j)
 ( -1.3193902853e-04+ 0.0000000000e+00j)  ( -1.3198707749e-04+ 0.0000000000e+00j)
 ( -1.5344464926e-04+ 0.0000000000e+00j)  ( -1.5350053003e-04+ 0.0000000000e+00j)
 ( -1.7809905973e-04+ 0.0000000000e+00j)  ( -1.7816391903e-04+ 0.0000000000e+00j)
 ( -2.0630175165e-04+ 0.0000000000e+00j)  ( -2.0637688168e-04+ 0.0000000000e+00j)
 ( -2.3849298832e-04+ 0.0000000000e+00j)  ( -2.3857984161e-04+ 0.0000000000e+00j)
 ( -2.7515646812e-04+ 0.0000000000e+00j)  ( -2.7525667335e-04+ 0.0000000000e+00j)
 ( -3.1682193944e-04+ 0.0000000000e+00j)  ( -3.1693731822e-04+ 0.0000000000e+00j)
 ( -3.6406772602e-04+ 0.0000000000e+00j)  ( -3.6420031055e-04+ 0.0000000000e+00j)
 ( -4.1752311617e-04+ 0.0000000000e+00j)  ( -4.1767516784e-04+ 0.0000000000e+00j)
 ( -4.7787056478e-04+ 0.0000000000e+00j)  ( -4.7804459351e-04+ 0.0000000000e+00j)
 ( -5.4584765182e-04+ 0.0000000000e+00j)  ( -5.4604643614e-04+ 0.0000000000e+00j)
 ( -6.2224873658e-04+ 0.0000000000e+00j)  ( -6.2247534430e-04+ 0.0000000000e+00j)
 ( -7.0792624238e-04+ 0.0000000000e+00j)  ( -7.0818405175e-04+ 0.0000000000e+00j)
 ( -8.0379150293e-04+ 0.0000000000e+00j)  ( -8.0408422408e-04+ 0.0000000000e+00j)
 ( -9.1081509813e-04+ 0.0000000000e+00j)  ( -9.1114679466e-04+ 0.0000000000e+00j)
 ( -1.0300266048e-03+ 0.0000000000e+00j)  ( -1.0304017153e-03+ 0.0000000000e+00j)
 ( -1.1625136866e-03+ 0.0000000000e+00j)  ( -1.1629370456e-03+ 0.0000000000e+00j)
 ( -1.3094204462e-03+ 0.0000000000e+00j)  ( -1.3098973050e-03+ 0.0000000000e+00j)
 ( -1.4719449652e-03+ 0.0000000000e+00j)  ( -1.4724810115e-03+ 0.0000000000e+00j)
 ( -1.6513359580e-03+ 0.0000000000e+00j)  ( -1.6519373341e-03+ 0.0000000000e+00j)
 ( -1.8488884707e-03+ 0.0000000000e+00j)  ( -1.8495617905e-03+ 0.0000000000e+00j)
 ( -2.0659385604e-03+ 0.0000000000e+00j)  ( -2.0666909247e-03+ 0.0000000000e+00j)
 ( -2.3038569007e-03+ 0.0000000000e+00j)  ( -2.3046959090e-03+ 0.0000000000e+00j)
 ( -2.5640412622e-03+ 0.0000000000e+00j)  ( -2.5649750233e-03+ 0.0000000000e+00j)
 ( -2.8479078354e-03+ 0.0000000000e+00j)  ( -2.8489449737e-03+ 0.0000000000e+00j)
 ( -3.1568813693e-03+ 0.0000000000e+00j)  ( -3.1580310282e-03+ 0.0000000000e+00j)
 ( -3.4923841197e-03+ 0.0000000000e+00j)  ( -3.4936559605e-03+ 0.0000000000e+00j)
 ( -3.8558236117e-03+ 0.0000000000e+00j)  ( -3.8572278083e-03+ 0.0000000000e+00j)
 ( -4.2485792454e-03+ 0.0000000000e+00j)  ( -4.2501264740e-03+ 0.0000000000e+00j)
 ( -4.6719877889e-03+ 0.0000000000e+00j)  ( -4.6736892125e-03+ 0.0000000000e+00j)
 ( -5.1273278260e-03+ 0.0000000000e+00j)  ( -5.1291950733e-03+ 0.0000000000e+00j)
 ( -5.6158032476e-03+ 0.0000000000e+00j)  ( -5.6178483857e-03+ 0.0000000000e+00j)
 ( -6.1385258996e-03+ 0.0000000000e+00j)  ( -6.1407614006e-03+ 0.0000000000e+00j)
 ( -6.6964975223e-03+ 0.0000000000e+00j)  ( -6.6989362229e-03+ 0.0000000000e+00j)
 ( -7.2905911396e-03+ 0.0000000000e+00j)  ( -7.2932461946e-03+ 0.0000000000e+00j)
 ( -7.9215320822e-03+ 0.0000000000e+00j)  ( -7.9244169105e-03+ 0.0000000000e+00j)
 ( -8.5898788462e-03+ 0.0000000000e+00j)  ( -8.5930070701e-03+ 0.0000000000e+00j)
 ( -9.2960040134e-03+ 0.0000000000e+00j)  ( -9.2993893908e-03+ 0.0000000000e+00j)
 ( -1.0040075477e-02+ 0.0000000000e+00j)  ( -1.0043731827e-02+ 0.0000000000e+00j)
 ( -1.0822038230e-02+ 0.0000000000e+00j)  ( -1.0825979352e-02+ 0.0000000000e+00j)
 ( -1.1641596996e-02+ 0.0000000000e+00j)  ( -1.1645836581e-02+ 0.0000000000e+00j)
 ( -1.2498199974e-02+ 0.0000000000e+00j)  ( -1.2502751513e-02+ 0.0000000000e+00j)
 ( -1.3391024001e-02+ 0.0000000000e+00j)  ( -1.3395900685e-02+ 0.0000000000e+00j)
 ( -1.4318961412e-02+ 0.0000000000e+00j)  ( -1.4324176028e-02+ 0.0000000000e+00j)
 ( -1.5280608891e-02+ 0.0000000000e+00j)  ( -1.5286173716e-02+ 0.0000000000e+00j)
 ( -1.6274258589e-02+ 0.0000000000e+00j)  ( -1.6280185276e-02+ 0.0000000000e+00j)
 ( -1.7297891783e-02+ 0.0000000000e+00j)  ( -1.7304191253e-02+ 0.0000000000e+00j)
 ( -1.8349175321e-02+ 0.0000000000e+00j)  ( -1.8355857642e-02+ 0.0000000000e+00j)
 ( -1.9425461069e-02+ 0.0000000000e+00j)  ( -1.9432535348e-02+ 0.0000000000e+00j)
 ( -2.0523788578e-02+ 0.0000000000e+00j)  ( -2.0531262841e-02+ 0.0000000000e+00j)
 ( -2.1640891107e-02+ 0.0000000000e+00j)  ( -2.1648772192e-02+ 0.0000000000e+00j)
 ( -2.2773205143e-02+ 0.0000000000e+00j)  ( -2.2781498589e-02+ 0.0000000000e+00j)
 ( -2.3916883493e-02+ 0.0000000000e+00j)  ( -2.3925593438e-02+ 0.0000000000e+00j)
 ( -2.5067811978e-02+ 0.0000000000e+00j)  ( -2.5076941063e-02+ 0.0000000000e+00j)
 ( -2.6221629715e-02+ 0.0000000000e+00j)  ( -2.6231178993e-02+ 0.0000000000e+00j)
 ( -2.7373752925e-02+ 0.0000000000e+00j)  ( -2.7383721778e-02+ 0.0000000000e+00j)
 ( -2.8519402121e-02+ 0.0000000000e+00j)  ( -2.8529788192e-02+ 0.0000000000e+00j)
 ( -2.9653632537e-02+ 0.0000000000e+00j)  ( -2.9664431667e-02+ 0.0000000000e+00j)
 ( -3.0771367526e-02+ 0.0000000000e+00j)  ( -3.0782573708e-02+ 0.0000000000e+00j)
 ( -3.1867434677e-02+ 0.0000000000e+00j)  ( -3.1879040019e-02+ 0.0000000000e+00j)
 ( -3.2936604294e-02+ 0.0000000000e+00j)  ( -3.2948599003e-02+ 0.0000000000e+00j)
 ( -3.3973629877e-02+ 0.0000000000e+00j)  ( -3.3986002245e-02+ 0.0000000000e+00j)
 ( -3.4973290159e-02+ 0.0000000000e+00j)  ( -3.4986026579e-02+ 0.0000000000e+00j)
 ( -3.5930432266e-02+ 0.0000000000e+00j)  ( -3.5943517254e-02+ 0.0000000000e+00j)
 ( -3.6840015489e-02+ 0.0000000000e+00j)  ( -3.6853431725e-02+ 0.0000000000e+00j)
 ( -3.7697155167e-02+ 0.0000000000e+00j)  ( -3.7710883552e-02+ 0.0000000000e+00j)
 ( -3.8497166140e-02+ 0.0000000000e+00j)  ( -3.8511185870e-02+ 0.0000000000e+00j)
 ( -3.9235605254e-02+ 0.0000000000e+00j)  ( -3.9249893905e-02+ 0.0000000000e+00j)
 ( -3.9908312352e-02+ 0.0000000000e+00j)  ( -3.9922845987e-02+ 0.0000000000e+00j)
 ( -4.0511449256e-02+ 0.0000000000e+00j)  ( -4.0526202539e-02+ 0.0000000000e+00j)
 ( -4.1041536196e-02+ 0.0000000000e+00j)  ( -4.1056482524e-02+ 0.0000000000e+00j)
 ( -4.1495485236e-02+ 0.0000000000e+00j)  ( -4.1510596881e-02+ 0.0000000000e+00j)
 ( -4.1870630224e-02+ 0.0000000000e+00j)  ( -4.1885878487e-02+ 0.0000000000e+00j)
 ( -4.2164752863e-02+ 0.0000000000e+00j)  ( -4.2180108240e-02+ 0.0000000000e+00j)
 ( -4.2376104567e-02+ 0.0000000000e+00j)  ( -4.2391536912e-02+ 0.0000000000e+00j)
 ( -4.2503423764e-02+ 0.0000000000e+00j)  ( -4.2518902476e-02+ 0.0000000000e+00j)
 ( -4.2545948446e-02+ 0.0000000000e+00j)  ( -4.2561442645e-02+ 0.0000000000e+00j)
 ( -4.2503423764e-02+ 0.0000000000e+00j)  ( -4.2518902476e-02+ 0.0000000000e+00j)
 ( -4.2376104567e-02+ 0.0000000000e+00j)  ( -4.2391536912e-02+ 0.0000000000e+00j)
 ( -4.2164752863e-02+ 0.0000000000e+00j)  ( -4.2180108240e-02+ 0.0000000000e+00j)
 ( -4.1870630224e-02+ 0.0000000000e+00j)  ( -4.1885878488e-02+ 0.0000000000e+00j)
 ( -4.1495485236e-02+ 0.0000000000e+00j)  ( -4.1510596882e-02+ 0.0000000000e+00j)
 ( -4.1041536196e-02+ 0.0000000000e+00j)  ( -4.1056482524e-02+ 0.0000000000e+00j)
 ( -4.0511449256e-02+ 0.0000000000e+00j)  ( -4.0526202540e-02+ 0.0000000000e+00j)
 ( -3.9908312352e-02+ 0.0000000000e+00j)  ( -3.9922845989e-02+ 0.0000000000e+00j)
 ( -3.9235605254e-02+ 0.0000000000e+00j)  ( -3.9249893906e-02+ 0.0000000000e+00j)
 ( -3.8497166140e-02+ 0.0000000000e+00j)  ( -3.8511185871e-02+ 0.0000000000e+00j)
 ( -3.7697155166e-02+ 0.0000000000e+00j)  ( -3.7710883553e-02+ 0.0000000000e+00j)
 ( -3.6840015489e-02+ 0.0000000000e+00j)  ( -3.6853431727e-02+ 0.0000000000e+00j)
